t,value
1701445950,74728
1701445980,74728
1701446010,74728
1701446040,74728
1701446070,74728
1701446100,74728
1701446130,74728
1701446160,74728
1701446190,74728
1701446220,74728
1701446250,74728
1701446280,74728
