t,value
1701445950,1212416
1701445980,1212416
1701446010,1212416
1701446040,1212416
1701446070,1212416
1701446100,1212416
1701446130,1212416
1701446160,1212416
1701446190,1212416
1701446220,1212416
1701446250,1212416
1701446280,1212416
