t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1701445950,127,4,366414,0,000000,0,000000,0,000000,events/second
1701445980,145,2,451535,0,000000,0,000000,0,000000,events/second
1701446010,163,1,828085,0,000000,0,000000,0,000000,events/second
1701446040,181,1,518803,0,000000,0,000000,0,000000,events/second
1701446070,199,1,333895,0,000000,0,000000,0,000000,events/second
1701446100,217,1,210911,0,000000,0,000000,0,000000,events/second
1701446130,235,1,123265,0,000000,0,000000,0,000000,events/second
1701446160,253,1,057534,0,000000,0,000000,0,000000,events/second
1701446190,271,1,006486,0,000000,0,000000,0,000000,events/second
1701446220,289,0,965663,0,000000,0,000000,0,000000,events/second
1701446250,307,0,932311,0,000000,0,000000,0,000000,events/second
1701446280,325,0,904552,0,000000,0,000000,0,000000,events/second
