t,value
1701445950,53361664
1701445980,53361664
1701446010,53361664
1701446040,53361664
1701446070,53361664
1701446100,53361664
1701446130,53361664
1701446160,53361664
1701446190,53361664
1701446220,53361664
1701446250,53361664
1701446280,53361664
1701446310,53361664
