t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1701445950,24,0,867965,0,000000,0,000000,0,000000,events/second
1701445980,24,0,416040,0,000000,0,000000,0,000000,events/second
1701446010,24,0,273646,0,000000,0,000000,0,000000,events/second
1701446040,24,0,203886,0,000000,0,000000,0,000000,events/second
1701446070,24,0,162461,0,000000,0,000000,0,000000,events/second
1701446100,24,0,135025,0,000000,0,000000,0,000000,events/second
1701446130,24,0,115522,0,000000,0,000000,0,000000,events/second
1701446160,24,0,100933,0,000000,0,000000,0,000000,events/second
1701446190,24,0,089621,0,000000,0,000000,0,000000,events/second
1701446220,24,0,080587,0,000000,0,000000,0,000000,events/second
1701446250,24,0,073209,0,000000,0,000000,0,000000,events/second
1701446280,24,0,067070,0,000000,0,000000,0,000000,events/second
1701446310,54,0,139234,0,000000,0,000000,0,000000,events/second
